Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,PPP,SHG,SHA,SHPTS,GWG,ENG,PIM,Active
Luke Ellinas,YES,19,2006-03-12,2006,6.01,186,LW,Kitchener Rangers,67,16,17,33,0.49,8,2,1,3,0,1,1,2,1,75,1
Ben Danford,NO,77,2006-02-06,2006,6.02,190,D,Oshawa Generals,64,1,32,33,0.52,27,0,4,4,0,0,0,0,0,25,1
Jack Van Volsen,NO,14,2006-01-12,2006,6.02,188,C,Mississauga Steelheads,63,20,12,32,0.51,-2,5,5,10,0,0,0,2,0,27,1
Gabriel Frasca,NO,18,2006-02-18,2006,6,170,C,Kingston Frontenacs,44,15,17,32,0.73,-13,5,7,12,0,0,0,4,0,18,1
Roman Schmidt,NO,76,2003-02-27,2003,6.05,216,D,Kingston Frontenacs,47,8,24,32,0.68,-4,5,14,19,0,0,0,1,0,62,1
Matthew Andonovski,NO,5,2005-03-14,2005,6.02,200,LD,Kitchener Rangers,65,7,25,32,0.49,58,0,0,0,0,1,1,0,0,124,1
Ryder McIntyre,NO,21,2004-07-15,2004,6.03,218,RW,Peterborough Petes,55,14,17,31,0.56,-14,1,1,2,0,0,0,0,1,46,1
Spencer Sova,NO,22,2004-01-10,2004,6.01,188,D,Erie Otters,58,14,17,31,0.53,-5,6,3,9,0,0,0,2,0,35,1
Tanner Lam,YES,37,2007-07-14,2007,5.08,140,RW,Kitchener Rangers,61,13,18,31,0.51,1,3,3,6,0,0,0,1,0,4,1
Mathieu Paris,NO,54,2005-01-01,2005,6,175,RW,Niagara IceDogs,54,11,20,31,0.57,-24,1,2,3,2,1,3,0,0,8,1
Christopher Brown,NO,67,2006-01-27,2006,5.11,166,C,Soo Greyhounds,66,7,24,31,0.47,13,0,1,1,0,1,1,1,0,8,1
Alex Pharand,NO,21,2005-01-05,2005,6.03,198,RW,Sudbury Wolves,68,17,13,30,0.44,12,1,2,3,2,0,2,1,1,38,1
Mitch Young,NO,5,2005-04-29,2005,6.01,183,D,Sarnia Sting,65,11,19,30,0.46,-23,1,3,4,0,0,0,2,0,77,1
Simon Motew,NO,46,2003-03-31,2003,6,187,RD,Kitchener Rangers,68,11,19,30,0.44,2,1,3,4,0,0,0,1,0,93,1
Kaden Pitre,NO,17,2006-02-08,2006,6,185,C,Flint Firebirds,35,10,20,30,0.86,-9,1,7,8,1,0,1,0,1,29,1
Nick Yearwood,NO,18,2004-07-15,2004,6,190,LW,Sudbury Wolves,62,8,22,30,0.48,6,0,0,0,2,2,4,0,0,54,1
Jackson Edward,NO,92,2004-02-27,2004,6.03,191,D,London Knights,59,7,23,30,0.51,43,1,5,6,0,1,1,1,0,92,1
Isaiah George,NO,4,2004-02-15,2004,6,199,D,London Knights,68,6,24,30,0.44,26,0,0,0,0,4,4,1,0,54,1
Landen Hookey,NO,10,2004-01-29,2004,6.05,215,RW,Owen Sound Attack,64,15,14,29,0.45,-8,2,2,4,0,0,0,2,1,66,1
Connor Clattenburg,NO,23,2005-05-02,2005,6.02,197,LW,Flint Firebirds,60,13,16,29,0.48,1,3,0,3,0,0,0,2,1,79,1
Roenick Jodoin,NO,92,2004-09-10,2004,5.06,157,C,Barrie Colts,61,13,16,29,0.48,-25,4,0,4,0,0,0,1,0,30,1
Cooper Way,NO,9,2003-06-11,2003,6.03,199,C,Sarnia Sting,68,11,18,29,0.43,-24,4,6,10,0,0,0,1,2,50,1
Landon Sim,NO,90,2004-07-17,2004,5.11,174,LW,London Knights,39,10,19,29,0.74,21,1,1,2,1,1,2,2,0,63,1
Adam Zidlicky,NO,91,2005-01-28,2005,6,170,LW,Mississauga Steelheads,54,10,19,29,0.54,6,2,3,5,0,0,0,1,1,82,1
Carson Woodall,YES,24,2006-05-25,2006,5.11,170,D,Windsor Spitfires,57,6,23,29,0.51,-24,0,10,10,0,0,0,1,0,22,1
Owain Johnston,NO,7,2003-10-19,2003,6.01,193,D,Erie Otters,68,5,24,29,0.43,21,1,4,5,0,1,1,0,1,83,1
Brenden Sirizzotti,NO,57,2003-04-14,2003,6,193,RW,Barrie Colts,38,14,14,28,0.74,4,2,7,9,0,0,0,3,0,8,1
Colton Smith,NO,61,2004-02-09,2004,6.03,215,LW,Windsor Spitfires,68,13,15,28,0.41,-36,1,6,7,0,0,0,1,0,23,1
Lawson Sherk,NO,39,2003-05-03,2003,6.03,198,C,Brantford Bulldogs,65,11,17,28,0.43,-10,1,1,2,3,2,5,3,0,53,1
Brady Martin,YES,44,2007-03-16,2007,6,175,C,Soo Greyhounds,52,10,18,28,0.54,12,3,2,5,0,0,0,0,0,40,1
Declan Waddick,NO,27,2005-01-24,2005,5.09,162,LW,Owen Sound Attack,65,13,14,27,0.42,-17,2,2,4,0,0,0,2,0,7,1
Alex Assadourian,NO,8,2005-07-24,2005,5.09,168,C,Niagara IceDogs,45,8,19,27,0.6,-24,2,7,9,3,1,4,1,1,32,1
